FcpaEdges, SparkEdges, Context, CallSite
1, 1, 4, "$r20 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>($i3)"
1, 1, 4, "$r23 = staticinvoke <java.lang.String: java.lang.String valueOf(int)>($i4)"
1, 1, 4, "$r22 = virtualinvoke $r18.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(",")"
1, 1, 4, "$r28 = virtualinvoke $r27.<java.lang.StringBuilder: java.lang.String toString()>()"
-1, 0, 4, "virtualinvoke $r47.<java.io.PrintStream: void println(java.lang.String)>($r53)"
1, 1, 701, "specialinvoke $r0.<java.lang.String: void <init>(char[],int,int)>($r2, 0, $i0)"
1, 1, 49, "$r2 = staticinvoke <java.util.Arrays: char[] copyOfRange(char[],int,int)>(r1, i0, $i4)"
1, 1, 49, "specialinvoke $r6.<java.lang.StringIndexOutOfBoundsException: void <init>(int)>(i1)"
1, 1, 49, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 49, "specialinvoke $r3.<java.lang.StringIndexOutOfBoundsException: void <init>(int)>($i5)"
1, 1, 49, "specialinvoke $r7.<java.lang.StringIndexOutOfBoundsException: void <init>(int)>(i0)"
1, 1, 51, "specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()"
1, 1, 51, "$r4 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 51, "specialinvoke r0.<java.lang.IndexOutOfBoundsException: void <init>(java.lang.String)>($r4)"
1, 1, 51, "$r2 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("String index out of range: ")"
1, 1, 51, "$r3 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)"
1, 1, 42, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(int)>(i0)"
1, 1, 43, "$i6 = staticinvoke <java.lang.Integer: int stringSize(int)>(i0)"
1, 1, 43, "$i5 = staticinvoke <java.lang.Integer: int stringSize(int)>($i4)"
1, 1, 43, "staticinvoke <java.lang.Integer: void getChars(int,int,char[])>(i0, i3, $r1)"
1, 1, 43, "virtualinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>("-2147483648")"
1, 1, 43, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>(i3)"
1, 1, 39, "$r3 = staticinvoke <java.util.Arrays: char[] copyOf(char[],int)>($r2, $i3)"
1, 1, 39, "$i3 = specialinvoke r0.<java.lang.AbstractStringBuilder: int newCapacity(int)>(i0)"
1, 1, 40, "$i6 = specialinvoke r0.<java.lang.AbstractStringBuilder: int hugeCapacity(int)>(i2)"
1, 1, 41, "specialinvoke $r0.<java.lang.OutOfMemoryError: void <init>()>()"
1, 1, 23, "specialinvoke r0.<java.lang.VirtualMachineError: void <init>()>()"
1, 1, 24, "specialinvoke r0.<java.lang.Error: void <init>()>()"
1, 1, 25, "specialinvoke r0.<java.lang.Throwable: void <init>()>()"
1, 1, 26, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 26, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 29, "$i2 = staticinvoke <java.lang.Math: int min(int,int)>($i1, i0)"
1, 1, 44, "$r2 = virtualinvoke r0.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>(r1)"
1, 1, 45, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 37, "specialinvoke r1.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i2)"
1, 1, 37, "$r3 = specialinvoke r1.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder appendNull()>()"
1, 1, 37, "virtualinvoke r0.<java.lang.String: void getChars(int,int,char[],int)>(0, i0, $r2, $i3)"
1, 1, 37, "i0 = virtualinvoke r0.<java.lang.String: int length()>()"
1, 1, 31, "specialinvoke $r6.<java.lang.StringIndexOutOfBoundsException: void <init>(int)>(i0)"
1, 1, 31, "specialinvoke $r5.<java.lang.StringIndexOutOfBoundsException: void <init>(int)>(i1)"
1, 1, 31, "specialinvoke $r4.<java.lang.StringIndexOutOfBoundsException: void <init>(int)>($i5)"
1, 1, 106, "specialinvoke r0.<java.lang.IndexOutOfBoundsException: void <init>(java.lang.String)>($r4)"
1, 1, 106, "specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()"
1, 1, 106, "$r2 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("String index out of range: ")"
1, 1, 106, "$r3 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)"
1, 1, 106, "$r4 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 107, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 108, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 109, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 110, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 110, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 99, "specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()"
1, 1, 99, "$r4 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 99, "$r2 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("String index out of range: ")"
1, 1, 99, "$r3 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)"
1, 1, 99, "specialinvoke r0.<java.lang.IndexOutOfBoundsException: void <init>(java.lang.String)>($r4)"
1, 1, 100, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 101, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 102, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 103, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 103, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 32, "specialinvoke $r1.<java.lang.StringBuilder: void <init>()>()"
1, 1, 32, "specialinvoke r0.<java.lang.IndexOutOfBoundsException: void <init>(java.lang.String)>($r4)"
1, 1, 32, "$r4 = virtualinvoke $r3.<java.lang.StringBuilder: java.lang.String toString()>()"
1, 1, 32, "$r3 = virtualinvoke $r2.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(i0)"
1, 1, 32, "$r2 = virtualinvoke $r1.<java.lang.StringBuilder: java.lang.StringBuilder append(java.lang.String)>("String index out of range: ")"
1, 1, 93, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 94, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 95, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 96, "specialinvoke r0.<java.lang.Object: void <init>()>()"
1, 1, 96, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
1, 1, 38, "specialinvoke r0.<java.lang.AbstractStringBuilder: void ensureCapacityInternal(int)>($i0)"
1, 1, 36, "specialinvoke r0.<java.lang.AbstractStringBuilder: java.lang.AbstractStringBuilder append(java.lang.String)>(r1)"
1, 1, 87, "specialinvoke r0.<java.lang.RuntimeException: void <init>(java.lang.String)>(r1)"
1, 1, 88, "specialinvoke r0.<java.lang.Exception: void <init>(java.lang.String)>(r1)"
1, 1, 89, "specialinvoke r0.<java.lang.Throwable: void <init>(java.lang.String)>(r1)"
1, 1, 90, "virtualinvoke r0.<java.lang.Throwable: java.lang.Throwable fillInStackTrace()>()"
